"id","name","website","canonical_domain","status","inclusion_hint","discovery_sources","source_contexts","first_seen","last_seen","notes"
"cand-acsresearch-org","Alignment of Complex Systems Research Group (ACS)","https://acsresearch.org/","acsresearch.org","new","borderline","discovery-aisafety-map","Conceptual research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-adalovelaceinstitute-org","Adalovelaceinstitute","https://www.adalovelaceinstitute.org/","adalovelaceinstitute.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ae-studio","AE Studio","https://www.ae.studio/","ae.studio","new","borderline","discovery-aisafety-map","Conceptual research, Empirical research, Governance","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aether-ai-research-org","Aether","https://aether-ai-research.org/","aether-ai-research.org","new","borderline","discovery-aisafety-map","Empirical research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-affi-ne","AFFINE Network","https://www.affi.ne/","affi.ne","new","borderline","discovery-aisafety-map","Training and education","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ai-evaluation-org","Ai Evaluation","https://ai-evaluation.org/","ai-evaluation.org","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ai-objectives-institute","AI Objectives Institute (AOI)","https://ai.objectives.institute/","ai.objectives.institute","new","borderline","discovery-aisafety-map","Empirical research, Capabilities research","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ai-plans-com","AI Plans","https://ai-plans.com/","ai-plans.com","new","borderline","discovery-aisafety-map","Strategy","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-ai2050-schmidtsciences-org","AI2050","https://ai2050.schmidtsciences.org/","ai2050.schmidtsciences.org","new","borderline","discovery-aisafety-map","Funding","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
"cand-aialignment-mit-edu","Aialignment","https://aialignment.mit.edu/","aialignment.mit.edu","new","borderline","discovery-failure-first","","2026-09-15","2026-09-15","Automatically discovered external-site lead; verify scope, legal identity, status, and primary sources before promotion."
