"id","source_id","target_id","type","status","amount","currency","amount_status","normalized_usd","announcement_date","confidence","source_ids"
"rel-ainow-life","org-ai-now","tax-life-policy-regulation","INTERVENES_AT","current","","","","","","high","src-ainow-about"
"rel-ainow-risk","org-ai-now","tax-risk-labor-power-society","WORKS_ON","current","","","","","","high","src-ainow-about"
"rel-apollo-life","org-apollo","tax-life-predeployment-evaluation","INTERVENES_AT","current","","","","","","high","src-apollo-science"
"rel-apollo-risk","org-apollo","tax-risk-deception-hidden-objectives","WORKS_ON","current","","","","","","high","src-apollo-science"
"rel-cais-life","org-cais","tax-life-field-building-funding","INTERVENES_AT","current","","","","","","high","src-cais-about"
"rel-cais-risk","org-cais","tax-risk-loss-of-control","WORKS_ON","current","","","","","","high","src-cais-about"
"rel-govai-life","org-govai","tax-life-policy-regulation","INTERVENES_AT","current","","","","","","high","src-govai-about"
"rel-govai-risk","org-govai","tax-risk-loss-of-control","WORKS_ON","current","","","","","","medium","src-govai-about"
"rel-lawzero-life","org-lawzero","tax-life-architecture-safe-design","INTERVENES_AT","current","","","","","","high","src-lawzero-launch"
"rel-lawzero-risk","org-lawzero","tax-risk-loss-of-control","WORKS_ON","current","","","","","","high","src-lawzero-launch"
"rel-metr-evaluated-anthropic","org-metr","org-anthropic","EVALUATED","historical","","","","","","medium","src-metr-about"
"rel-metr-evaluated-deepmind","org-metr","org-google-deepmind","EVALUATED","historical","","","","","","medium","src-metr-about"
"rel-metr-evaluated-openai","org-metr","org-openai","EVALUATED","historical","","","","","","medium","src-metr-about"
"rel-metr-life","org-metr","tax-life-predeployment-evaluation","INTERVENES_AT","current","","","","","","high","src-metr-about"
"rel-metr-risk","org-metr","tax-risk-loss-of-control","WORKS_ON","current","","","","","","high","src-metr-about"
"rel-miri-life","org-miri","tax-life-policy-regulation","INTERVENES_AT","current","","","","","","medium","src-miri-about"
"rel-miri-risk","org-miri","tax-risk-loss-of-control","WORKS_ON","current","","","","","","medium","src-miri-about"
"rel-redwood-collaborated-anthropic","org-redwood","org-anthropic","COLLABORATED_WITH","historical","","","","","","high","src-redwood-home"
"rel-redwood-life","org-redwood","tax-life-training-alignment","INTERVENES_AT","current","","","","","","high","src-redwood-home"
"rel-redwood-risk","org-redwood","tax-risk-deception-hidden-objectives","WORKS_ON","current","","","","","","high","src-redwood-home"
"rel-saferai-life","org-saferai","tax-life-organizational-governance","INTERVENES_AT","current","","","","","","high","src-saferai-about"
"rel-saferai-risk","org-saferai","tax-risk-loss-of-control","WORKS_ON","current","","","","","","medium","src-saferai-about"
"rel-sampura-funded-coefficient-pledge","org-sampura","org-coefficient-giving","FUNDED_BY","announced","4000000","USD","pledged","4000000","2026-08-25","high","src-sampura-launch"
"rel-sampura-funded-coefficient-year-one","org-sampura","org-coefficient-giving","FUNDED_BY","announced","7000000","USD","committed","7000000","2026-08-25","high","src-sampura-launch"
"rel-sampura-life","org-sampura","tax-life-training-alignment","INTERVENES_AT","current","","","","","","high","src-sampura-launch"
"rel-sampura-risk","org-sampura","tax-risk-human-factors-oversight","WORKS_ON","current","","","","","","high","src-sampura-launch"
"rel-sampura-sponsored-rethink","org-sampura","org-rethink-priorities","FISCALLY_SPONSORED_BY","current","","","","","2026-08-25","high","src-sampura-launch"
