"id","name","scope","display_type","entity_type","status","country","website","risk_primary","lifecycle_primary","activity_primary","last_verified","confidence"
"org-ai-now","AI Now Institute","core","organization","nonprofit","active","US","https://ainowinstitute.org/","tax-risk-labor-power-society","tax-life-policy-regulation","tax-activity-policy-advocacy","2026-09-15","high"
"org-anthropic","Anthropic","context","frontier-developer","commercial-company","active","US","https://www.anthropic.com/","","","","2026-09-15","high"
"org-apollo","Apollo Research","core","organization","commercial-company","active","","https://www.apolloresearch.ai/","tax-risk-deception-hidden-objectives","tax-life-predeployment-evaluation","tax-activity-evaluations-benchmarks","2026-09-15","high"
"org-cais","Center for AI Safety","core","organization","nonprofit","active","US","https://safe.ai/","tax-risk-loss-of-control","tax-life-field-building-funding","tax-activity-education-field-building-funding","2026-09-15","medium"
"org-coefficient-giving","Coefficient Giving","context","funder","foundation","active","US","https://coefficientgiving.org/","","tax-life-field-building-funding","tax-activity-education-field-building-funding","2026-09-15","medium"
"org-google-deepmind","Google DeepMind","context","frontier-developer","commercial-company","active","UK","https://deepmind.google/","","","","2026-09-15","high"
"org-govai","Centre for the Governance of AI","core","organization","nonprofit","active","","https://www.governance.ai/","tax-risk-loss-of-control","tax-life-policy-regulation","tax-activity-policy-advocacy","2026-09-15","medium"
"org-lawzero","LawZero","core","organization","nonprofit","active","Canada","https://lawzero.org/en","tax-risk-loss-of-control","tax-life-architecture-safe-design","tax-activity-alignment-control","2026-09-15","medium"
"org-metr","METR","core","organization","nonprofit","active","US","https://metr.org/","tax-risk-loss-of-control","tax-life-predeployment-evaluation","tax-activity-evaluations-benchmarks","2026-09-15","high"
"org-miri","Machine Intelligence Research Institute","core","organization","nonprofit","active","US","https://intelligence.org/","tax-risk-loss-of-control","tax-life-policy-regulation","tax-activity-policy-advocacy","2026-09-15","medium"
"org-openai","OpenAI","context","frontier-developer","commercial-company","active","US","https://openai.com/","","","","2026-09-15","high"
"org-redwood","Redwood Research","core","organization","nonprofit","active","US","https://www.redwoodresearch.org/","tax-risk-deception-hidden-objectives","tax-life-training-alignment","tax-activity-alignment-control","2026-09-15","medium"
"org-rethink-priorities","Rethink Priorities","context","fiscal-sponsor-incubator","unknown","active","","https://rethinkpriorities.org/","","tax-life-field-building-funding","tax-activity-education-field-building-funding","2026-09-15","low"
"org-saferai","SaferAI","core","organization","nonprofit","active","France","https://www.safer-ai.org/","tax-risk-loss-of-control","tax-life-organizational-governance","tax-activity-standards-frameworks","2026-09-15","medium"
"org-sampura","Sampura Research","core","organization","fiscally-sponsored-project","active","UK","https://sampura.org/","tax-risk-human-factors-oversight","tax-life-training-alignment","tax-activity-scalable-oversight","2026-09-15","high"
